,YEAR,MONTH,DATE,Mw,LAT (N),LONG (E),DEPTH (km),DATETIME
40,1688,6,14.0,6.5,99.9,26.5,0.0,1688-06-14
41,1697,2,13.0,7.2,94.6,27.75,0.0,1697-02-13
43,1705,2,4.0,7.0,72.15,21.75,0.0,1705-02-04
45,1720,7,15.0,6.5,77.1,28.37,0.0,1720-07-15
47,1736,3,24.0,5.8,74.5,34.6,0.0,1736-03-24
49,1737,10,11.0,7.2,88.4,22.6,0.0,1737-10-11
51,1751,1,1.0,7.0,80.0,31.3,0.0,1751-01-01
52,1751,5,25.0,6.8,99.9,26.5,0.0,1751-05-25
53,1751,12,9.0,4.3,73.2,19.1,0.0,1751-12-09
56,1752,1,5.0,4.3,73.3,19.1,0.0,1752-01-05
57,1752,2,5.0,4.3,73.4,18.7,0.0,1752-02-05
60,1762,4,2.0,7.5,92.0,22.0,0.0,1762-04-02
61,1762,7,13.0,4.3,88.4,22.6,0.0,1762-07-13
64,1764,6,4.0,6.0,88.0,24.0,0.0,1764-06-04
65,1764,8,17.0,6.0,73.7,17.9,0.0,1764-08-17
67,1779,1,7.0,5.2,74.5,34.6,0.0,1779-01-07
68,1780,8,17.0,5.2,77.0,35.0,0.0,1780-08-17
70,1784,11,1.0,5.8,74.5,34.6,0.0,1784-11-01
71,1787,6,1.0,7.8,89.75,24.5,0.0,1787-06-01
73,1792,5,29.0,4.3,73.0,18.5,0.0,1792-05-29
75,1800,10,18.0,4.3,80.1,15.6,0.0,1800-10-18
78,1803,5,22.0,4.5,78.6,30.6,0.0,1803-05-22
79,1803,9,1.0,6.8,77.7,27.5,0.0,1803-09-01
80,1806,6,11.0,7.7,92.0,28.5,0.0,1806-06-11
82,1807,12,9.0,4.3,80.1,13.1,0.0,1807-12-09
85,1808,4,13.0,4.3,88.4,22.6,0.0,1808-04-13
86,1808,6,4.0,4.3,80.3,25.5,0.0,1808-06-04
91,1811,2,1.0,4.5,88.4,22.6,0.0,1811-02-01
99,1816,5,26.0,6.5,80.0,30.0,0.0,1816-05-26
100,1816,5,27.0,5.2,79.0,30.9,0.0,1816-05-27
101,1816,5,28.0,5.2,79.0,30.9,0.0,1816-05-28
124,1823,2,9.0,5.7,80.0,7.0,0.0,1823-02-09
125,1823,3,2.0,4.3,76.6,9.5,0.0,1823-03-02
126,1823,3,9.0,5.0,80.0,7.0,0.0,1823-03-09
127,1823,4,3.0,4.3,88.4,22.6,0.0,1823-04-03
128,1823,11,26.0,4.3,80.0,7.0,0.0,1823-11-26
